%time,CO2air,co2_dos
43920.15972,898,0.0013
43920.16319,937,0.0019
43920.16667,949,0.0025
43920.17014,923,0.0019
43920.17361,902,0.0014
43920.17708,885,0.0008
43920.18056,941,0.0016
43920.18403,981,0.0023
43920.1875,945,0.003
43920.19097,927,0.002
43920.19444,896,0.0011
43920.19792,888,0.0001
43920.20139,893,0.0013
43920.20486,972,0.0025
43920.20833,986,0.0037
43920.21181,956,0.0025
43920.21528,916,0.0013
43920.21875,912,0.0002
43920.22222,891,0.0003
43920.22569,880,0.0005
43920.22917,942,0.0007
43920.23264,946,0.0013
43920.23611,955,0.0019
43920.23958,934,0.0025
43920.24306,930,0.0029
43920.24653,912,0.0033
43920.25,893,0.0037
43920.25347,921,0.0035
43920.25694,926,0.0033
43920.26042,896,0.0031
43920.26389,927,0.0025
43920.26736,907,0.0019
43920.27083,  NaN,0.0014
43920.27431,  NaN,0.0014
43920.27778,  NaN,0.0015
43920.28125,  NaN,0.0015
43920.28472,  NaN,0.0016
43920.28819,  NaN,0.0017
43920.29167,  NaN,0.0018
43920.29514,  NaN,0.0016
43920.29861,  NaN,0.0013
43920.30208,  NaN,0.0011
43920.30556,  NaN,0.001
43920.30903,  NaN,0.001
43920.3125,  NaN,0.0009
43920.31597,  NaN,0.001
43920.31944,  NaN,0.001
43920.32292,  NaN,0.001
43920.32639,885,0.0011
43920.32986,887,0.0011
43920.33333,930,0.0011
43920.33681,968,0.0013
43920.34028,953,0.0015
43920.34375,921,0.0017
43920.34722,913,0.0016
43920.35069,905,0.0015
43920.35417,938,0.0015
43920.35764,938,0.0013
43920.36111,925,0.0011
43920.36458,902,0.0009
43920.36806,898,0.0016
43920.37153,924,0.0023
43920.375,929,0.003
43920.37847,929,0.003
43920.38194,893,0.0031
43920.38542,874,0.0031
43920.38889,923,0.0036
43920.39236,923,0.004
43920.39583,908,0.0044
43920.39931,882,0.004
43920.40278,909,0.0035
43920.40625,896,0.0031
43920.40972,863,0.0034
43920.41319,925,0.0037
43920.41667,919,0.0041
43920.42014,873,0.0039
43920.42361,848,0.0037
43920.42708,871,0.0036
43920.43056,949,0.0039
43920.43403,949,0.0042
43920.4375,890,0.0045
43920.44097,846,0.0049
43920.44444,884,0.0053
43920.44792,932,0.0057
43920.45139,931,0.0053
43920.45486,901,0.0049
43920.45833,882,0.0044
43920.46181,916,0.0051
43920.46528,934,0.0058
43920.46875,898,0.0065
43920.47222,892,0.0064
43920.47569,935,0.0064
43920.47917,913,0.0064
43920.48264,873,0.0059
43920.48611,866,0.0054
43920.48958,861,0.0048
43920.49306,829,0.0052
43920.49653,863,0.0055
43920.5,871,0.0059
43920.50347,736,0.0053
43920.50694,751,0.0048
43920.51042,705,0.0043
43920.51389,758,0.0061
43920.51736,812,0.0079
43920.52083,869,0.0097
43920.52431,907,0.0097
43920.52778,932,0.0097
43920.53125,913,0.0097
43920.53472,854,0.0075
43920.53819,757,0.0052
43920.54167,776,0.003
43920.54514,669,0.0022
43920.54861,651,0.0014
43920.55208,625,0.0006
43920.55556,607,0.0031
43920.55903,703,0.0056
43920.5625,676,0.008
43920.56597,706,0.0086
43920.56944,829,0.0092
43920.57292,882,0.0097
43920.57639,891,0.0096
43920.57986,937,0.0095
43920.58333,866,0.0094
43920.58681,873,0.0078
43920.59028,895,0.0061
43920.59375,914,0.0045
43920.59722,924,0.0033
43920.60069,890,0.0022
43920.60417,840,0.0011
43920.60764,808,0.0011
43920.61111,784,0.001
43920.61458,769,0.0009
43920.61806,767,0.0023
43920.62153,816,0.0038
43920.625,818,0.0052
43920.62847,783,0.0047
43920.63194,785,0.0041
43920.63542,783,0.0035
43920.63889,822,0.0033
43920.64236,796,0.0031
43920.64583,765,0.0029
43920.64931,766,0.0027
43920.65278,744,0.0025
43920.65625,779,0.0024
43920.65972,710,0.0016
43920.66319,667,0.0008
43920.66667,688,0.0001
43920.67014,654,0.0026
43920.67361,747,0.0051
